date,open,low,high,close,volume
2025-01-07 08:56:00,1.03901,1.03898,1.03922,1.03916,213
2025-01-07 08:57:00,1.03916,1.03903,1.03917,1.03905,184
2025-01-07 08:58:00,1.03905,1.03899,1.03949,1.03948,354
2025-01-07 08:59:00,1.03948,1.03945,1.03965,1.03962,415
2025-01-07 09:00:00,1.03962,1.03933,1.03967,1.03936,352
2025-01-07 09:01:00,1.03936,1.03932,1.03946,1.03936,257
2025-01-07 09:02:00,1.03936,1.03909,1.03939,1.03915,250
2025-01-07 09:03:00,1.03915,1.03914,1.03945,1.03939,326
2025-01-07 09:04:00,1.03939,1.03938,1.03956,1.0395,371
2025-01-07 09:05:00,1.0395,1.03929,1.0395,1.03947,392
2025-01-07 09:06:00,1.03947,1.03919,1.03948,1.03943,290
2025-01-07 09:07:00,1.03943,1.03939,1.03952,1.03945,294
2025-01-07 09:08:00,1.03945,1.03944,1.03959,1.03949,281
2025-01-07 09:09:00,1.03949,1.03919,1.03949,1.03924,284
2025-01-07 09:10:00,1.03924,1.03924,1.03948,1.03942,280
2025-01-07 09:11:00,1.03942,1.03919,1.03942,1.0392,236
2025-01-07 09:12:00,1.0392,1.03915,1.03945,1.03945,246
2025-01-07 09:13:00,1.03945,1.03927,1.03952,1.03935,270
2025-01-07 09:14:00,1.03935,1.03897,1.03935,1.03899,247
2025-01-07 09:15:00,1.03899,1.03897,1.03929,1.03925,212
2025-01-07 09:16:00,1.03925,1.039,1.03925,1.0391,205
2025-01-07 09:17:00,1.0391,1.03906,1.03928,1.03912,238
2025-01-07 09:18:00,1.03912,1.03901,1.0393,1.03905,279
2025-01-07 09:19:00,1.03905,1.03894,1.03905,1.03894,167
2025-01-07 09:20:00,1.03894,1.03889,1.0391,1.03893,314
2025-01-07 09:21:00,1.03893,1.03891,1.03921,1.03915,260
2025-01-07 09:22:00,1.03915,1.03909,1.03935,1.03934,193
2025-01-07 09:23:00,1.03934,1.0393,1.0394,1.03934,135
2025-01-07 09:24:00,1.03934,1.0393,1.03944,1.03938,238
2025-01-07 09:25:00,1.03938,1.03938,1.03964,1.03939,246
2025-01-07 09:26:00,1.03939,1.03919,1.0394,1.03922,171
2025-01-07 09:27:00,1.03922,1.03913,1.03934,1.03924,211
2025-01-07 09:28:00,1.03924,1.03923,1.03937,1.0393,160
2025-01-07 09:29:00,1.0393,1.0393,1.03952,1.0395,133
2025-01-07 09:30:00,1.0395,1.0395,1.03966,1.03959,284
2025-01-07 09:31:00,1.03959,1.03945,1.03968,1.03959,410
2025-01-07 09:32:00,1.03959,1.03951,1.03966,1.03951,321
2025-01-07 09:33:00,1.03951,1.03949,1.03963,1.03959,281
